sub_county_id,sub_county_name,national_id,initial,occupation,patient_id,gender,date_of_birth,is_regular_smoker,insurance_id,country_id,country_name,county_id,county_name,level_of_education,phone_number_category,phone_number,insurance_status,is_pregnant,site_id,site_name,first_name,last_name,age,middle_name,landmark,program_id,program_name,insurance_type,is_support_group,is_active,is_deleted,tenant_id,created_by,updated_by,updated_at,created_at,has_hypertension,has_diabetes,has_mental_health_issue,on_htn_meds,on_diabetes_meds,on_mh_treatment
61,Kisauni,16974644605199,E,"Buyer, industrial",169746446,F,1994-01-31,True,24814095126161,KE,Kenya,8,Mombasa,Primary Education,Family,4317350583,Active,False,56,Kangemi Health Centre,Emily,Garrett,74,,791 Terri Bypass,1711fd48-aa3d-4b45-bd9b-2356b40a44e1,Diabetes Care,Community-Based,True,False,False,f9f11a4d-cb5d-4325-b913-f3f05f27b029,Kevin Price,Kevin Price,2025-04-27 20:07:51,2025-04-27 19:35:06,False,False,False,False,False,False
30,Naivasha,31315705339209,J,Operational investment banker,313157053,M,1947-06-11,True,28544145041641,KE,Kenya,4,Nakuru,Diploma,Work,4961108046,Active,False,12,Karatina Sub-County Hospital,James,Wu,33,,99076 Pope River Apt. 507,73324401-fca5-49f0-b093-7e4e63968760,General Wellness,Employer-Based,True,False,False,a6a7a818-e2ef-46d6-aaff-5a73b4536c54,Arthur Garrett,Arthur Garrett,2025-04-27 21:31:03,2025-04-27 20:37:38,False,False,False,False,False,False
2,Mbooni,95675861134207,J,"Copywriter, advertising",956758611,M,1940-05-25,False,69910695272990,KE,Kenya,1,Makueni,No Formal Education,Personal,2845679723,Active,False,17,Wamagana Health Centre,Joseph,Matthews,73,,49685 Silva Plains,a772a1f4-bc05-46c3-bf0f-fa12b54931f4,Diabetes Care,NHIF,False,True,False,474b9b0d-fa95-4581-87ec-ae32c5414eed,Rachel Bailey,Rachel Bailey,2025-04-27 21:41:02,2025-04-27 21:40:12,False,False,False,False,False,False
66,Dagoretti North,25251638360872,P,Broadcast presenter,252516383,F,1980-11-19,False,30133106010895,KE,Kenya,9,Nairobi,No Formal Education,Emergency,0388065333,Active,False,6,Wote Health Centre,Patricia,Hernandez,57,Elizabeth,779 Christian Port,290274f4-7c47-42aa-b2af-eec93d392060,General Wellness,Private,False,False,False,20bd78af-a8cb-40c6-bf0e-f553937763b2,Diana Martin,Eric Hooper,2025-04-27 23:18:14,2025-04-27 22:53:04,False,False,False,False,False,False
34,Kuresoi North,73008402226463,V,Office manager,730084022,M,1959-06-23,False,,KE,Kenya,4,Nakuru,Bachelor's Degree,Work,3379337563,None,False,36,Subukia Sub-County Hospital,Victor,Jensen,70,Jennifer,0150 Douglas Mill,890de813-ff36-4e7b-a612-afe8d0637a15,Diabetes Care,None,True,False,False,5be8449a-ab45-4523-a173-77738732bd4d,Jonathan Romero,Jonathan Romero,2025-04-28 00:11:21,2025-04-27 23:40:21,False,True,False,False,True,False
36,Njoro,50280316200384,C,"Editor, commissioning",502803162,F,1970-01-11,False,,KE,Kenya,4,Nakuru,Diploma,Family,2342583230,None,True,21,Kakamega County Referral Hospital,Cheyenne,Willis,28,,26153 Bryant Land,546e3869-f845-4922-b6f9-e608456bcd10,Diabetes Care,None,False,False,False,d4b3d849-ba57-412d-81e7-c7b5cf6c21bc,Scott Burns,Scott Burns,2025-04-28 01:00:45,2025-04-28 00:57:46,False,False,False,False,False,False
66,Dagoretti North,25997033701394,R,Warden/ranger,259970337,M,1960-02-20,True,,KE,Kenya,9,Nairobi,No Formal Education,Emergency,3386559630,None,False,61,Coast General Teaching and Referral Hospital Vikwatani Outreach Centre,Robert,Guerrero,26,Teresa,53042 Clark Common Suite 912,8d74a695-176b-4b0f-a3c4-6979d44696b2,General Wellness,None,True,False,False,39cc4e21-69b5-4a5f-bd1d-3f786a31de6c,Jacob Long,Jacob Long,2025-04-28 02:30:32,2025-04-28 02:15:44,False,False,False,False,False,False
67,Dagoretti South,81066760262984,K,English as a foreign language teacher,810667602,F,1962-01-11,True,20007537107781,KE,Kenya,9,Nairobi,Doctorate,Emergency,8777496903,Active,False,59,Kasarani Health Centre,Katie,Potter,46,Maria,63466 Selena Landing Suite 812,87ddb946-4e66-41bd-b0ff-9ceb9ea27210,General Wellness,Employer-Based,True,True,False,5a200ac6-0b5e-400a-aa20-fe85c07586ab,Carl Cummings,John Landry,2025-04-28 03:32:46,2025-04-28 02:58:44,False,False,False,False,False,False
66,Dagoretti North,50207857317095,P,Museum/gallery exhibitions officer,502078573,M,1937-10-06,True,24874825044797,KE,Kenya,9,Nairobi,Diploma,Work,5677665754,Active,False,36,Subukia Sub-County Hospital,Paul,Phillips,45,,3415 Kelly Parkway,56dd32ed-451c-483b-bd8c-91c3f14cd564,General Wellness,Employer-Based,False,False,False,4e6d138d-5600-461e-bf03-1822d3cce540,Joshua Mcmillan,Carla Brown,2025-04-28 04:12:54,2025-04-28 03:57:12,False,False,False,False,False,False
16,Butere,21203317510408,K,Trade mark attorney,212033175,F,1953-03-01,True,,KE,Kenya,3,Kakamega,Doctorate,Work,0835354443,None,True,56,Kangemi Health Centre,Kayla,Schneider,27,,44566 Thomas Passage Apt. 633,d1713e45-397e-4747-8aa4-a956f6f4fb5e,Hypertension Management,None,True,False,False,640e2846-2d78-4595-b1f4-d8391119d589,Kevin Price,Becky Shea DDS,2025-04-28 05:07:36,2025-04-28 04:52:04,True,False,False,True,False,False
70,Embakasi North,60648684041610,N,Corporate treasurer,606486840,M,1951-11-14,True,29729098330337,KE,Kenya,9,Nairobi,Diploma,Family,5366377805,Active,False,56,Kangemi Health Centre,Nathaniel,Clark,41,David,075 Perez Manors Suite 845,889c104f-15fa-4574-88bc-893cda47836b,General Wellness,Private,False,True,False,de7c719a-9c86-4d6a-a167-5fb7938ea3ae,Kevin Price,Kevin Price,2025-04-28 06:31:33,2025-04-28 06:26:51,False,False,False,False,False,False
43,Ol Joro Orok,69973617822712,L,Clinical embryologist,699736178,F,1979-02-26,True,,KE,Kenya,5,Nyandarua,No Formal Education,Work,9663618637,None,False,77,Bamba Sub County Hospital,Laurie,Bradley,78,,412 Emily Fall Apt. 970,2f71783d-ba7b-45f3-b246-c26bc49d2e9a,General Wellness,None,True,False,False,f0040c41-4b78-4b9a-9615-b53f183a22e9,Amanda Landry,Mark Hall,2025-04-28 06:53:10,2025-04-28 06:42:41,False,False,False,False,False,False
