sub_county_id,sub_county_name,national_id,initial,occupation,patient_id,gender,date_of_birth,is_regular_smoker,insurance_id,country_id,country_name,county_id,county_name,level_of_education,phone_number_category,phone_number,insurance_status,is_pregnant,site_id,site_name,first_name,last_name,age,middle_name,landmark,program_id,program_name,insurance_type,is_support_group,is_active,is_deleted,tenant_id,created_by,updated_by,updated_at,created_at,has_diabetes,on_diabetes_meds,has_hypertension,on_htn_meds,has_mental_health_issue,on_mh_treatment
4,Kibwezi East,92155470067975,T,Restaurant manager,921554700,M,1983-02-26,False,92155470067975,KE,Kenya,1,Makueni,Master's Degree,Emergency,1992550272,Active,False,69,Coast General Teaching Refferal Hospital - Mtongwe Outreach Centre,Tammy,Kim,42,Rita,64807 Cynthia Route Apt. 033,bb60cf90-25a2-4842-8e2f-cf147af6c2f4,General Wellness,Employer-Based,True,False,False,4364a94e-cd27-4d24-b587-f6b32ec23b9f,Patrick Spencer,Patrick Spencer,2025-04-06 14:57:35,2025-04-06 14:29:30,,,,,,
60,Mvita,80481125220805,R,"Programmer, applications",804811252,M,1955-08-25,True,80481125220805,KE,Kenya,8,Mombasa,Master's Degree,Work,9055044817,None,False,84,Maua Methodist Hospital,Robert,Payne,69,,5586 Wilson Fall Suite 652,7e00425e-62e8-4007-8731-d7ddb62ffd1e,Diabetes Care,None,False,True,False,eaf77e3c-f383-4a79-8917-bc50b022b66f,Aimee Ramirez,Aimee Ramirez,2025-04-06 15:56:51,2025-04-06 15:43:58,,,,,,
69,Embakasi East,29167953809652,A,"Producer, radio",291679538,M,1963-09-28,False,29167953809652,KE,Kenya,9,Nairobi,Bachelor's Degree,Personal,1109617981,Active,False,83,Consolata Mission Hospital Nkubu,Angela,Martin,61,Ryan,463 Kimberly Plaza,38371a5a-d803-45f1-9b06-80f019b2cebc,Hypertension Management,None,False,True,False,2742fdac-cd6d-46d7-b145-6f42ba3fe015,Audrey Marshall,Erika Potts,2025-04-06 17:02:29,2025-04-06 17:00:38,,,,,,
24,Kakamega South,10066039002678,P,Patent examiner,100660390,F,1976-04-19,True,10066039002678,KE,Kenya,3,Kakamega,Doctorate,Family,5384444630,Active,False,55,Dagoretti Sub-County Hospital Mutuini,Patrick,Gonzalez,49,,02589 Rogers Ports,4cf19fd4-27e1-4760-bc84-2ae06f13b4f6,General Wellness,None,False,False,False,b9882982-c698-4d1d-8005-29a3351832ba,Mary Harris,Leslie Rodriguez,2025-04-06 17:35:22,2025-04-06 17:11:26,,,,,,
65,Nyali,27683588274697,V,Retail merchandiser,276835882,F,1957-06-15,True,27683588274697,KE,Kenya,8,Mombasa,Bachelor's Degree,Work,6265826312,Active,False,41,JM Kariuki Memorial Hospital,Victoria,Allen,67,Teresa,964 Stacy Ford,3073ac75-f725-4581-a97b-525ed54844b8,General Wellness,Employer-Based,True,False,False,3a430940-9a56-49c9-991e-b8f5e92cdf1e,Phyllis Austin,Phyllis Austin,2025-04-06 18:58:26,2025-04-06 18:45:01,,,,,,
72,Embakasi West,19744968841081,C,"Engineer, biomedical",197449688,F,1945-02-16,True,19744968841081,KE,Kenya,9,Nairobi,Doctorate,Family,9602752334,Active,False,91,Gatimbi Health Centre,Christopher,Johnson,80,,640 Miller Divide,88165530-1594-44dc-921a-3eacc9e62bd7,Hypertension Management,NHIF,False,True,False,8cfef350-05ae-4e49-9e8e-2b52488a4daa,Mario Hanson,Jonathan Ferguson,2025-04-06 19:51:05,2025-04-06 19:45:52,,,,,,
22,Mutungu,55152270320832,C,"Nurse, adult",551522703,M,1983-10-08,False,55152270320832,KE,Kenya,3,Kakamega,Primary Education,Family,1244211753,None,False,52,Mama Lucy Kibaki Hospital,Courtney,Little,41,,0617 Jason Manor,acde6993-be06-48fe-b0d9-1b4310060f68,Diabetes Care,None,False,True,False,6bfa762c-42fc-464c-b1c9-36bcf65d8dae,James Weber,James Weber,2025-04-06 21:02:13,2025-04-06 21:02:07,,,,,,
51,Igembe North,11985190775325,N,"Accountant, chartered public finance",119851907,M,1975-01-10,True,11985190775325,KE,Kenya,6,Meru,Primary Education,Work,9901557998,Active,False,10,Emali Model Health Centre,Nicholas,Edwards,50,,413 Amanda Path,55d243fa-6d8c-4137-ba44-22aad5f23924,General Wellness,Community-Based,False,False,False,f79583b1-cd01-40a6-8299-12b57ed9f0bd,Paula Smith,Paula Smith,2025-04-06 21:59:30,2025-04-06 21:58:08,True,True,,,,
80,Ruaraka,27449595952043,W,"Psychologist, sport and exercise",274495959,M,1969-03-05,False,27449595952043,KE,Kenya,9,Nairobi,Diploma,Emergency,1244731584,None,False,38,Elburgon Sub-County Hospital,William,Hernandez,56,,8634 James Vista Suite 619,6e33f6a3-535d-473e-b8ea-07ba993db971,General Wellness,None,False,False,False,003a92cd-c63c-4c15-b21f-a2df3e9bab68,Lauren Reyes,Lauren Reyes,2025-04-06 22:25:35,2025-04-06 22:10:47,,,,,,
9,Mathira East,19495955582120,L,Manufacturing engineer,194959555,M,1955-08-14,True,19495955582120,KE,Kenya,2,Nyeri,Diploma,Emergency,9459196639,Active,False,90,Timau Sub-County Hospital,Laura,Matthews,69,,172 Susan Glen Suite 498,de008443-dd0f-42d9-b67e-ec21de12eb6d,General Wellness,NHIF,True,False,False,635e6b66-f2cb-43bd-b8b8-348881901469,Lacey Hall,Elizabeth Campbell,2025-04-06 23:58:54,2025-04-06 23:57:09,,,,,,
